               0                0                0                0                0 
             0.1       0.00517092      0.000170918      4.25141e-06      8.47423e-08 
             0.2        0.0214028       0.00140276      6.94248e-05      2.75816e-06 
             0.3        0.0498588       0.00485881      0.000358808      2.13076e-05 
             0.4        0.0918247        0.0118247       0.00115803      9.13643e-05 
             0.5         0.148721        0.0237213       0.00288794      0.000283771 
             0.6         0.222119        0.0421188        0.0061188        0.0007188 
             0.7         0.313753        0.0687527         0.011586       0.00158187 
             0.8         0.425541         0.105541        0.0202076       0.00314093 
             0.9         0.559603         0.154603        0.0331031       0.00576561 
               1         0.718282         0.218282        0.0516152        0.0099485 
